,Date,default
1189,2012-08-22,1
1190,2012-08-29,1
1191,2012-08-31,1
1192,2012-08-31,1
1193,2012-09-01,1
1194,2012-09-05,1
1195,2012-09-05,1
1196,2012-09-05,1
1197,2012-09-05,1
1198,2012-09-06,1
1199,2012-09-06,1
1200,2012-09-06,1
1201,2012-09-10,1
1202,2012-09-10,1
1203,2012-09-14,1
1204,2012-09-14,1
1205,2012-09-14,1
1206,2012-09-17,1
1207,2012-09-20,1
1208,2012-09-26,1
1209,2012-09-27,1
1210,2012-09-27,1
1211,2012-09-27,1
1212,2012-09-30,1
1213,2012-09-30,1
1214,2012-10-01,1
1215,2012-10-01,1
1216,2012-10-01,1
1217,2012-10-04,1
1218,2012-10-04,1
1219,2012-10-11,1
1220,2012-10-12,1
1221,2012-10-15,1
1222,2012-10-19,1
1223,2012-10-24,1
1224,2012-10-25,1
1225,2012-10-29,1
1226,2012-10-31,1
1227,2012-10-31,1
1228,2012-10-31,1
1229,2012-10-31,1
1230,2012-10-31,1
1231,2012-11-01,1
1232,2012-11-01,1
1233,2012-11-08,1
1234,2012-11-08,1
1235,2012-11-08,1
1236,2012-11-08,1
1237,2012-11-08,1
1238,2012-11-09,1
1239,2012-11-12,1
1240,2012-11-13,1
1241,2012-11-13,1
1242,2012-11-13,1
1243,2012-11-14,1
1244,2012-11-14,1
1245,2012-11-15,1
1246,2012-11-15,1
1247,2012-11-15,1
1248,2012-11-19,1
1249,2012-11-21,1
1250,2012-11-22,1
1251,2012-11-22,1
1252,2012-11-23,1
1253,2012-11-23,1
1254,2012-11-26,1
1255,2012-11-26,1
1256,2012-11-27,1
1257,2012-11-30,1
1258,2012-12-01,1
1259,2012-12-01,1
1260,2012-12-03,1
1261,2012-12-03,1
1262,2012-12-03,1
1263,2012-12-05,1
1264,2012-12-05,1
1265,2012-12-05,1
1266,2012-12-08,1
1267,2012-12-10,1
1268,2012-12-11,1
1269,2012-12-11,1
1270,2012-12-11,1
1271,2012-12-12,1
1272,2012-12-14,1
1273,2012-12-14,1
1274,2012-12-15,1
1275,2012-12-15,1
1276,2012-12-15,1
1277,2012-12-16,1
1278,2012-12-17,1
1279,2012-12-17,1
1280,2012-12-17,1
1281,2012-12-21,1
1282,2012-12-21,1
1283,2012-12-21,1
